year_month,days,bm_rev_gbp_mw_yr,duration_h
2024-01,31,2957.2661281988267,2.0
2024-02,29,2626.413421677822,2.0
2024-03,31,4808.070404456996,2.0
2024-04,30,3751.8787933208496,2.0
2024-05,31,4722.140887413536,2.0
2024-06,30,5334.791276271891,2.0
2024-07,31,4083.7874646610694,2.0
2024-08,31,3579.157682113663,2.0
2024-09,30,3191.029965034052,2.0
2024-10,31,4748.796620062283,2.0
2024-11,30,6622.268601238572,2.0
2024-12,31,9163.698165806129,2.0
2025-01,31,11557.686422328718,2.0
2025-02,28,11131.487567666327,2.0
2025-03,31,8391.874513035333,2.0
2025-04,30,6376.152558978675,2.0
2025-05,31,6555.689786649393,2.0
2025-06,30,7992.600320519292,2.0
2025-07,31,7113.71935120543,2.0
2025-08,31,6489.529707569357,2.0
2025-09,30,6392.5315424077835,2.0
2025-10,31,9074.797899030373,2.0
2025-11,30,8928.630671448085,2.0
2025-12,31,9244.260436355147,2.0
2026-01,31,13058.185054280571,2.0
2026-02,28,10613.755407247625,2.0
2026-03,31,14836.09261232251,2.0
2026-04,25,13979.919670034546,2.0
