year_month,days,da_revenue,wd_revenue,anc_revenue,total_net,throughput,da_revenue_gbp_mw_yr,wd_revenue_gbp_mw_yr,anc_revenue_gbp_mw_yr,total_net_gbp_mw_yr
2024-04,30,44963.18,283383.1,15956.9,344303.17,15512.06,5474.267165,34501.892425,1942.752575,41918.9109475
2024-05,31,-7715.47,252376.22,10567.7,255228.5,13569.83,-909.0565862903226,29735.61753387097,1245.113685483871,30071.680524193547
2024-06,30,22153.489999999998,322269.6,14725.1,359148.18,14891.58,2697.1874075,39236.3238,1792.780925,43726.290915
2024-07,31,-13188.890000000001,290991.11,10450.7,288252.91,14723.97,-1553.9490556451615,34285.323525,1231.3284435483872,33962.701734677416
2024-08,31,40181.159999999996,282880.69,11744.2,334806.08,15618.95,4734.247964516128,33329.73291048387,1383.7319516129035,39447.716361290324
2024-09,30,9150.560000000001,294087.15,12323.5,315561.22,14330.64,1114.0806800000003,35805.1105125,1500.3861250000002,38419.57853499999
2024-10,31,43765.47,282149.1,31751.2,357665.75,14288.98,5156.560618548387,33243.53508870968,3741.008322580645,42141.10167338709
2024-11,30,-23388.4,279454.32,84443.7,340509.62,13394.09,-2847.5377000000003,34023.563460000005,10281.020475,41457.046235
2024-12,31,28303.309999999998,316685.06,218960.4,563948.75,15331.15,3334.769025,37312.651020967736,25798.47938709677,66445.8970766129
2025-01,31,53588.18,303828.61,242423.6,599840.42,13510.46,6313.897659677419,35797.87090403226,28562.97416129032,70674.74625967743
2025-02,28,3709.029999999998,257569.28,240841.69999999998,502119.99,12215.88,483.8297169642854,33598.992685714285,31416.939616071428,65499.759409821425
2025-03,31,20758.050000000003,253227.35,244118.7,518104.08999999997,13911.22,2445.767020161291,29835.899866935488,28762.695217741933,61044.3609266129
2025-04,30,33518.64,267469.13,90878.7,391866.47,14272.34,4080.8944199999996,32564.366577499997,11064.481724999998,47709.7427225
2025-05,31,9839.23,272983.85,86742.9,369565.98,15734.42,1159.28347016129,32163.66168145161,10220.27233064516,43543.217482258064
2025-06,30,47835.840000000004,317925.27,83715.2,449476.27,15139.23,5824.01352,38707.4016225,10192.325599999998,54723.7358725
2025-07,31,-15887.55,284752.13,71502.9,340367.48,14316.06,-1871.912141129032,33550.23080080645,8424.656201612903,40102.97486129032
2025-08,31,12642.820000000003,262191.38,58756.0,333590.22,14876.01,1489.6096790322586,30892.06501451613,6922.783548387097,39304.46059838709
2025-09,30,41108.87,285682.73,65419.6,392211.17,16176.75,5005.0049225,34781.872377499996,7964.8363,47751.7099475
2025-10,31,45364.31,256841.87,99950.2,402156.38,14810.0,5344.940073387097,30261.77194112903,11776.3905,47383.102514516126
2025-11,30,-9978.56,261445.91999999998,154832.3,406299.7,14040.39,-1214.8896799999998,31831.040759999996,18850.832524999998,49466.988475
2025-12,31,-15774.229999999998,217558.34,110055.4,311839.51,14396.94,-1858.5604862903224,25633.28505967742,12967.011241935481,36741.73581532258
2026-01,31,-12981.099999999999,221456.58,108565.09999999999,317040.54,13081.53,-1529.466701612903,26092.585756451608,12791.420249999997,37354.53459193548
2026-02,28,-15468.36,178921.78,71275.6,234729.02,12058.37,-2017.792317857143,23339.707194642855,9297.647464285716,30619.56234107143
2026-03,31,48357.06,236630.27,125016.9,410004.22000000003,13652.91,5697.553601612903,27880.38907016129,14729.813782258063,48307.755275806456
2026-04,25,42542.26,211382.82,53486.7,307411.79,12015.42,6215.424186,30883.030002,7814.406869999999,44912.862518999995
