year,label,yr_start,duration_h,duration_label,asset_mwh,n_days,gross_pl_gbp,gross_pl_m,gross_pl_per_mw_k,cycles,in_fwd
1,Y1,2026-05-01,0.5,0.5h,50.0,365,667829.4574312954,0.6678294574312954,6.678294574312954,488.4724223999999,True
2,Y2,2027-05-01,0.5,0.5h,50.0,366,496350.9524537879,0.4963509524537879,4.963509524537879,489.19288319999987,True
3,Y3,2028-05-01,0.5,0.5h,50.0,365,427789.7551940252,0.4277897551940252,4.277897551940252,488.4724223999999,False
4,Y4,2029-05-01,0.5,0.5h,50.0,365,420560.3450798429,0.4205603450798429,4.205603450798429,488.4724223999999,False
5,Y5,2030-05-01,0.5,0.5h,50.0,365,414394.44273222866,0.41439444273222864,4.143944427322287,488.4724223999999,False
1,Y1,2026-05-01,1.0,1h,100.0,365,1335658.9148625913,1.3356589148625913,13.356589148625913,488.4724224,True
2,Y2,2027-05-01,1.0,1h,100.0,366,992701.9049075765,0.9927019049075765,9.927019049075765,489.1928832000001,True
3,Y3,2028-05-01,1.0,1h,100.0,365,855579.5103880507,0.8555795103880507,8.555795103880508,488.4724224000001,False
4,Y4,2029-05-01,1.0,1h,100.0,365,841120.6901596864,0.8411206901596864,8.411206901596865,488.4724224000001,False
5,Y5,2030-05-01,1.0,1h,100.0,365,828788.8854644578,0.8287888854644578,8.287888854644578,488.4724224,False
1,Y1,2026-05-01,1.5,1.5h,150.0,365,1970207.0649337666,1.9702070649337666,19.702070649337667,488.47242239999997,True
2,Y2,2027-05-01,1.5,1.5h,150.0,366,1464253.4552458685,1.4642534552458686,14.642534552458685,489.1928832,True
3,Y3,2028-05-01,1.5,1.5h,150.0,365,1261958.0163770672,1.2619580163770672,12.619580163770673,488.47242239999997,False
4,Y4,2029-05-01,1.5,1.5h,150.0,365,1240641.8653426226,1.2406418653426226,12.406418653426226,488.47242239999997,False
5,Y5,2030-05-01,1.5,1.5h,150.0,365,1222472.5236868744,1.2224725236868745,12.224725236868744,488.47242239999997,False
1,Y1,2026-05-01,2.0,2h,200.0,365,2556306.1200036313,2.556306120003631,25.563061200036316,488.47242239999997,True
2,Y2,2027-05-01,2.0,2h,200.0,366,1899707.7320778505,1.8997077320778506,18.997077320778505,489.1928832,True
3,Y3,2028-05-01,2.0,2h,200.0,365,1637138.5674850424,1.6371385674850423,16.371385674850423,488.47242239999997,False
4,Y4,2029-05-01,2.0,2h,200.0,365,1609536.4851167428,1.6095364851167429,16.095364851167428,488.47242239999997,False
5,Y5,2030-05-01,2.0,2h,200.0,365,1586008.2143395022,1.5860082143395022,15.860082143395022,488.47242239999997,False
1,Y1,2026-05-01,2.5,2.5h,250.0,365,3126724.8855131255,3.1267248855131253,31.267248855131257,486.15340317696,True
2,Y2,2027-05-01,2.5,2.5h,250.0,366,2323471.6410979023,2.3234716410979024,23.234716410979026,486.82926745344,True
3,Y3,2028-05-01,2.5,2.5h,250.0,365,2002263.5612723713,2.0022635612723714,20.02263561272371,486.15340317696,False
4,Y4,2029-05-01,2.5,2.5h,250.0,365,1968532.925090604,1.968532925090604,19.68532925090604,486.15340317696,False
5,Y5,2030-05-01,2.5,2.5h,250.0,365,1939793.3758380648,1.9397933758380648,19.39793375838065,486.15340317696,False
1,Y1,2026-05-01,3.0,3h,300.0,365,3578993.40911599,3.57899340911599,35.7899340911599,471.92798958080004,True
2,Y2,2027-05-01,3.0,3h,300.0,366,2659303.5826370046,2.6593035826370044,26.59303582637005,472.49120981120006,True
3,Y3,2028-05-01,3.0,3h,300.0,365,2291664.464302597,2.291664464302597,22.916644643025972,471.92798958080004,False
4,Y4,2029-05-01,3.0,3h,300.0,365,2252946.345087208,2.252946345087208,22.52946345087208,471.92798958080004,False
5,Y5,2030-05-01,3.0,3h,300.0,365,2220053.9007629496,2.2200539007629496,22.200539007629498,471.8475287808,False
1,Y1,2026-05-01,3.5,3.5h,350.0,365,3990313.380493808,3.990313380493808,39.90313380493808,458.23549644068584,True
2,Y2,2027-05-01,3.5,3.5h,350.0,366,2964682.541418843,2.964682541418843,29.646825414188427,458.7182566381715,True
3,Y3,2028-05-01,3.5,3.5h,350.0,365,2554827.308536423,2.554827308536423,25.54827308536423,458.23549644068584,False
4,Y4,2029-05-01,3.5,3.5h,350.0,365,2511510.653517026,2.511510653517026,25.11510653517026,458.2354964406858,False
5,Y5,2030-05-01,3.5,3.5h,350.0,365,2474824.2337714005,2.4748242337714004,24.748242337714004,458.0636070692573,False
1,Y1,2026-05-01,4.0,4h,400.0,365,4360791.0088325115,4.3607910088325115,43.60791008832511,447.9182033856,True
2,Y2,2027-05-01,4.0,4h,400.0,366,3239613.3226758484,3.2396133226758486,32.39613322675849,448.3406185584,True
3,Y3,2028-05-01,4.0,4h,400.0,365,2791746.0194815616,2.7917460194815615,27.917460194815614,447.91774258559997,False
4,Y4,2029-05-01,4.0,4h,400.0,365,2744166.0329469116,2.7441660329469117,27.441660329469116,447.91774258559997,False
5,Y5,2030-05-01,4.0,4h,400.0,365,2704154.6945078457,2.704154694507846,27.04154694507846,447.6777425856,False
